Base Set,,,
,,,
200 cards,,,
Parallels,,,
,,,
Purple Foil /299,,,
Fuchsia Foil /199,,,
Sparkle Foil /175,,,
Blue Foil /150,,,
Green Foil /99,,,
Aqua Foil /75,,,
Gold Foil /50,,,
Orange Foil /25,,,
Red Foil /10,,,
FoilFractor /1,,,
,,,
PD-116,Max Clark,West Michigan Whitecaps,
PD-122,Bryce Rainer,FCL Tigers,
PD-123,Seaver King,Fredericksburg Nationals,
PD-127,Carson Williams,Montgomery Biscuits,
PD-129,Kash Mayfield,ACL Padres,
PD-131,Jared Sundstrom,Arkansas Travelers,
PD-132,Braylin Morel,ACL Rangers,
PD-136,Cam Smith,Corpus Christi Hooks,
PD-138,Franklin Arias,Salem Red Sox,
PD-139,Zyhir Hope,Rancho Cucamonga Quakes,
PD-140,Dillon Head,Jupiter Hammerheads,
PD-143,Nate Nankil,Lansing Lugnuts,
PD-144,Drew Beam,ACL Royals,
PD-145,Blake Wright,Fresno Grizzlies,
PD-148,Bryce Cunningham,FCL Yankees,
PD-152,Carson DeMartini,Clearwater Threshers,
PD-154,Chase Davis,Springfield Cardinals,
PD-155,Echedry Vargas,Beloit Sky Carp,
PD-156,Jonny Farmelo,Modesto Nuts,
PD-158,Yohandy Morales,Harrisburg Senators,
PD-159,Charlee Soto,Fort Myers Mighty Mussels,
PD-160,Caleb Durbin,Nashville Sounds,
PD-162,Jonathon Long,Knoxville Smokies,
PD-163,PJ Morlando,Jupiter Hammerheads,
PD-165,Ty Southisene,ACL Cubs,
PD-166,James Tibbs III,Eugene Emeralds,
PD-167,Chase Harlan,ACL Dodgers,
PD-168,Ryan Waldschmidt,Visalia Rawhide,
PD-169,Chase Burns,ACL Reds,
PD-170,Samuel Basallo,Norfolk Tides,
PD-172,Pablo Guerrero,Hub City Spartanburgers,
PD-173,Eduardo Tait,Clearwater Threshers,
PD-174,Luis Baez,Corpus Christi Hooks,
PD-175,Tyson Lewis,ACL Reds,
PD-176,Cole Messina,Spokane Indians,
PD-177,Jaison Chourio,Lynchburg Hillcats,
PD-178,Blake Burke,Wisconsin Timber Rattlers,
PD-179,Hyun-Seok Jang,Rancho Cucamonga Quakes,
PD-181,Aidan Smith,Bowling Green Hot Rods,
PD-182,George Wolkow,Kannapolis Cannon Ballers,
PD-183,Jonah Tong,Binghamton Rumble Ponies,
PD-184,Slade Caldwell,ACL Diamondbacks,
PD-185,Kyle Teel,Charlotte Knights,
PD-186,Ben Hess,FCL Yankees,
PD-187,Carter Johnson,Jupiter Hammerheads,
PD-188,Casey Cook,Hub City Spartanburgers,
PD-190,Nick McLain,ACL White Sox,
PD-194,Nick Morabito,Brooklyn Cyclones,
PD-195,Hyungchan Um,Columbia Fireflies,
PD-196,Bryce Eldridge,Sacramento River Cats,
PD-197,Eduardo Quintero,Rancho Cucamonga Quakes,
,,,
Chrome Autographs,,,
,,,
146 cards,,,
Parallels,,,
,,,
Refractor /199,,,
Green Refractor /99,,,
Gold Refractor /50,,,
Orange Lava Refractor /25,,,
Black Refractor /10,,,
Red Refractor /5,,,
SuperFractor /1,,,
,,,
PDC-1,Nick Kurtz,Midland Rockhounds,
PDC-3,Jacob Cozart,Lake County Captains,
PDC-4,Romeo Sanabria,San Antonio Missions,
PDC-5,Cooper Pratt,Biloxi Shuckers,
PDC-6,JD Dix,ACL Diamondbacks,
PDC-7,Kyle DeBarge,Fort Myers Mighty Mussels,
PDC-8,Travis Sykora,Fredericksburg Nationals,
PDC-9,Chris Cortez,ACL Angels,
PDC-10,Sean Keys,Dunedin Blue Jays,
PDC-11,Thomas White,Beloit Sky Carp,
PDC-14,Alex Clemmey,Fredericksburg Nationals,
PDC-15,Caleb Bonemer,ACL White Sox,
PDC-16,Cam Caminiti,Augusta GreenJackets,
PDC-17,Leo De Vries,Lake Elsinore Storm,
PDC-19,Walker Janek,Asheville Tourists,
PDC-20,Engelth Urena,FCL Yankees,
